"# train=300/scale(aug4x=1200), ALNS=3s, SL=30ep, RL=15ep, CPU-only"
Method,Obj,Gap(%),CVR(%),TW_Sat(%),Makespan,Time(ms)
Nearest Greedy,3109.47,20.7,2.6,97.4,1018.74,3.8
OR-Tools,4953.36,92.3,43.2,73.6,1792.49,10000.6
ALNS(30s),2575.41,0.0,3.5,96.5,981.30,3006.1
POMO,29024.23,1027.0,99.6,33.0,3672.39,28.0
CAHT(SL),2757.69,7.1,4.4,95.8,1133.79,104.2
CAHT(SL+RL),2867.04,11.3,5.7,94.3,1146.67,97.7
