"# train=300/scale(aug4x=1200), ALNS=3s, SL=30ep, RL=15ep, CPU-only"
Method,Obj,Gap(%),CVR(%),TW_Sat(%),Makespan,Time(ms)
Nearest Greedy,2222.62,24.8,2.6,97.4,949.72,1.8
OR-Tools,3511.17,97.1,43.9,73.5,1693.87,10000.0
ALNS(30s),1781.50,0.0,1.9,98.1,919.18,3001.8
POMO,10664.26,498.6,98.4,45.8,2566.11,15.6
CAHT(SL),1947.91,9.3,4.0,96.0,1075.21,52.3
CAHT(SL+RL),1997.09,12.1,4.9,95.1,1070.92,53.2
